Name,Organization,Title,Race,AAPI Subcategory,Gender,Photo
Robin L. Washington,Alphabet,Board Member,Black,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/agBCZWIOQIPd5wUlfiX4Cv/robin_l_washington.jpeg
K. Ram Shriram,Alphabet,Board Member,Asian,South Asian,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/aaq6XCg0KVd9zkZDnspkD_/k_ram_shriram.jpg
Larry Page,Alphabet,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/8aieM-KmbVd2VhsknEO_Up/larry_page.jpg
Sergey Brin,Alphabet,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/9PmnGN13ekC9QmoFYi6OXK/sergey_brin.jpg
Sundar Pichai,Alphabet,"Board Member, CEO",Asian,South Asian,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/8N4TxmG78e403eKl5T3OSO/sundar_pichai.jpeg
John L. Hennessy,Alphabet,"Board Member, Board Chair",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/8skw2roYCmf2d13541Z_He/john_hennessy.jpeg
Frances Arnold,Alphabet,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/9UY5LxRt3LV1OrHVG7KkN5/frances_arnold.jpeg
L. John Doerr,Alphabet,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/bZbUhB4qS-3cuByTcvK_rP/john_doerr.jpeg
"Roger W. Ferguson, Jr.",Alphabet,Board Member,Black,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/9IRPeQYUg79e9szubyX497/Roger_W_Ferguson_Jr.jpeg
Ann Mather,Alphabet,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/9Tz_3DrAstefodCmQ8AOX2/ann_mather.jpeg
Alan R. Mulally,Alphabet,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/8FqynUwJGnI7QCPJBYV4zw/alan_r_mulally.jpeg
Doug McMillon,Walmart,"Board Member, CEO",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/9PHj9vLuXf2fQcYlC5H4V2/Doug_McMillon.jpg
Gregory B. Penner,Walmart,"Board Member, Board Chair",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/bNO_prB8aWhaf9r_t6U_pu/gregory_penner.jpg
Timothy P. Flynn,Walmart,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/9XIAaXaSN710lRJAco3kBY/timothy_flynn.jpeg
Cesar Conde,Walmart,Board Member,Latino,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/8H-6qqpjYar0XvXEh7Z_a3/Cesar_Conde.png
Sarah Friar,Walmart,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/8dA5dUzB-oF8sku12OU_9q/sarah_friar.jpg
Carla A. Harris,Walmart,Board Member,Black,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/88MPdI0MRHz5HcI07hMOxl/carla_a_harris.jpg
Tom Horton,Walmart,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/8B9Vfvax1Ns07GdEydS4GM/tom_horton.jpg
Marissa A. Mayer,Walmart,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/8GC5XNIlzuVbSAKzFAUOYG/marrisa_a_mayer.jpg
Steven S Reinemund,Walmart,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/aW_sX835o8t5GE3zDqCOsN/steve-reinemund.jpg
Randall Stephenson,Walmart,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/9hoORjhp-d92QBZMB6F43U/randall_stephenson.jpg
S. Robson ‘Rob’ Walton,Walmart,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/aLg8N4rlsUg23Z92Fls4vI/rob_walton.jpg
Steuart Walton,Walmart,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/8_vBWRQNRAa22PIWVof4Wg/Steuart-Walton.jpg
Arthur D. Levinson,Apple,"Board Member, Board Chair",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/bTqtatSvulV2WN9GGG44AM/arthur_d_levinson.jpg
James A. Bell,Apple,Board Member,Black,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/bUdVZUNQNHJ9UJVU2YZkWi/james_a_bell.jpg
Tim Cook,Apple,"Board Member, CEO",White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/apd8Zzdl1eoaDH1cmCQ4_q/tim_cook.jpg
Albert Gore Jr.,Apple,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/9N7osqRs-VI7Gc9QgkpOJl/al_gore.jpg
Andrea Jung,Apple,Board Member,Asian,East Asian,Female,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/bUMojjB5qZOas-vcpGV_3c/andrea_jung.jpg
Monica Lozano,Apple,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/8R5Scu3gC_N48u38X3X4TN/Monica-Lozano.jpg
Ronald D. Sugar,Apple,Board Member,White,,Male,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/bPRzRthSvSzaB_EDxhK4Vs/ronald-sugar.png
Susan L. Wagner,Apple,Board Member,White,,Female,https://area120-tables.googleusercontent.com/downloads/attachment/9uTsdnxBBA2bs4rtOAakr_/9HOWQmxsWlz1wPtqqRW4bS/susan_wagner.jpg